Roaster Location,Coffee Origin,Roast Level,Agtron,Est. Price,Review Date,Aroma,Acidity/Structure,Body,Flavor,Aftertaste,Name,Roaster,Rating,With Milk,Acidity
"Harrisonburg, Virginia","Marcala, Honduras",Medium-Light,56/76,$17.99/12 ounces,December 2020,9.0,8.0,9.0,9.0,8.0,Cual Bicicleta,Merge Coffee Company,93.0,,
"Harrisonburg, Virginia","Los Planes, Comayagua, Honduras",Medium-Light,60/78,$17.99/12 ounces,December 2020,9.0,9.0,8.0,9.0,8.0,Pena Blanca Black Honey,Merge Coffee Company,93.0,,
"Harrisonburg, Virginia","San Jose, La Paz, Honduras",Medium-Light,58/74,$17.99/12 ounces,December 2020,9.0,8.0,9.0,9.0,8.0,La Joya,Merge Coffee Company,93.0,,
"Taichung City, Taiwan","Murang'a County, central Kenya",Medium-Light,56/78,USD $206.00/8 ounces,December 2020,9.0,9.0,9.0,9.0,8.0,Magic Cat Kenya Civet AFCA TOH NO.2 Gatuya Factory New Murarandia AA,"Good Chance Biotechnology, Ltd.",94.0,,
"Taichung City, Taiwan","Sidamo growing region, south-central Ethiopia",Medium-Light,56/78,USD $206.00/8 ounces,December 2020,9.0,8.0,9.0,9.0,8.0,Magic Cat Civet Ethiopia Sidamo Shantwene Litchi Rose Washed,"Good Chance Biotechnology, Ltd.",93.0,,
"San Diego, California","Yirgacheffe growing region, southern Ethiopia",Light,62/80,$22.00/12 ounces,December 2020,9.0,9.0,9.0,9.0,8.0,Ethiopia Grade 1 Chelchele,Nostalgia Coffee Roasters,94.0,,
"Taoyuan, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium,47/73,NT $1100/8 ounces,December 2020,9.0,,9.0,9.0,9.0,Ethiopia Natural Yirgacheffe Gr.1 Cleopatra,Simon Hsieh Aroma Roast Coffees,95.0,9.0,
"Taoyuan, Taiwan","Alishan, Taiwan",Medium,46/64,NT $1100/8 ounces,December 2020,9.0,,9.0,9.0,8.0,Taiwan Alishan Zhou-Zhu-Yuan Farm Estate Reserve Washed,Simon Hsieh Aroma Roast Coffees,94.0,9.0,
"Redding, California","Keramo Village, Sidama Region, Ethiopia",Medium-Light,60/78,$55.00/8 ounces,December 2020,9.0,9.0,9.0,9.0,8.0,Ethiopia Keramo Zero Oxygen Natural,Theory Coffee Roasters,94.0,,
"Jersey City, New Jersey","Boquete growing region, western Panama",Light,62/80,$60.00/150 grams,December 2020,9.0,9.0,9.0,9.0,8.0,Panama Elida ASD Natural,modcup coffee,94.0,,
"Thermopolis, Wyoming","Lintong growing region, North Sumatra Province, Indonesia",Light,555/73,$14.00/12 ounces,December 2020,9.0,8.0,9.0,9.0,8.0,Sumatra Mutu Batak,Jackrabbit Java,93.0,,
"Manlius, New York","Villa Rica, Oxampampa, Pasco Department, Peru",Medium-Light,54/72,$15.00/12 ounces,December 2020,9.0,8.0,9.0,9.0,7.0,Peru Chacra Don Dago,SkyTop Coffee,92.0,,
"Sacramento, California",Brazil; Ethiopia; Costa Rica,Medium,44/70,$16.50/12 ounces,December 2020,8.0,,8.0,9.0,8.0,Dharma Espresso Blend,Temple Coffee Roasters,92.0,9.0,
"Manlius, New York","Tolima Department, Colombia",Medium-Light,52/70,$15.00/12 ounces,December 2020,9.0,8.0,8.0,9.0,8.0,Colombia Planadas,SkyTop Coffee,92.0,,
"Truckee, California","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,57/77,$21.00/12 ounces,December 2020,8.0,8.0,8.0,9.0,8.0,Ethiopia Sidama Bensa Bekele,Drink Coffee Do Stuff,91.0,,
"Marysville, California",Africa; Central America,Medium,50/66,$20.00/12 ounces,December 2020,9.0,8.0,8.0,9.0,8.0,Bowstring Christmas Blend,Bridge Coffee Co.,92.0,,
"Kaohsiung City, Taiwan","Pasco Department, Villa Rica, Peru",Medium-Light,61/79,"NT $1,000/8 ounces",December 2020,9.0,9.0,9.0,9.0,8.0,Peru Yanesha Geisha,94 Fresh Coffee,94.0,,
"Marysville, California",Not disclosed,Medium,46/60,$14.00/12 ounces,December 2020,8.0,,8.0,9.0,7.0,Vertical Support Espresso,Bridge Coffee Co.,90.0,9.0,
"Kaohsiung City, Taiwan","La Paz, Honduras",Light,64/80,NT $450/8 ounces,December 2020,9.0,9.0,8.0,9.0,8.0,Honduras El Retono,94 Fresh Coffee,93.0,,
"Taipei, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,60/76,NT $300/100 grams,November 2020,9.0,8.0,9.0,9.0,8.0,Flower Queens of Africa Blend,Green Stone Coffee,93.0,,
"Eugene, Oregon","South Kivu Province, Democratic Republic of the Congo",Light,64/80,$24.00/16 ounces,November 2020,9.0,9.0,8.0,9.0,8.0,Umoja Organic Red Bourbon,Equiano Coffee,93.0,,
"Keelung, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,58/76,NT $450/227 grams,November 2020,9.0,9.0,9.0,9.0,9.0,Ethiopia Guji Chembi,Vennel Coffee,95.0,,
